,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,The Absentee Ballot and the Secret Ballot: Challenges for Election Reform,"['JC Fortier', 'NJ Ornstein']",2002,U. Mich. JL Reform,"absentee ballots and vote-by-mail systems. Voters who vote away from the polling place do  not have the same protections as those at the polling place. In particular, these voters do not","['', 'mcAK39gAAAAJ']",70
1,Publication,Elderly electors go postal: Ensuring absentee ballot integrity for older voters,['JA Fay'],2005,Elder LJ,attractive feature of the permanent absentee ballot system is its elimination of the frequent  election registration process. This is especially poignant for those disabled or elderly electors,[''],30
2,Publication,Whose absentee votes are returned and counted: The variety and use of absentee ballots in California,"['RM Alvarez', 'TE Hall', 'B Sinclair']",2008,Electoral Studies,"mail systems, think they voted when in fact their ballot was not  actual absentee ballots  themselves; they know which ballots  about the resolution of absentee ballots more generally, and","['', '', 'USx6U-MAAAAJ']",29
3,Publication,Seeing Is Believing: An Experiment on Absentee Ballots and Voter Confidence: Part of Special Symposium on Election Sciences,['LA Bryant'],2020,American Politics Research,"in remote voter assistance or better ballot-tracking systems that can confirm a ballot was  counted, we should continue to expect lower levels of confidence among absentee voters.",['VrkN9YMAAAAJ'],5
4,Publication,Administration of Absentee Ballot Programs,['BC Burden'],2013,NA,"for returning absentee ballots by mail, and cautiously consider other means for transmitting  absentee ballots.  By absentee voting we mean a system in which a voter may request that a",['-GjN8kAAAAAJ'],1
5,Publication,"Absentee and early voting: Trends, promises, and perils",['JC Fortier'],2006,NA,"‘Election Day’ is quickly becoming a thing of the past as we move towards a system of many  mini- will have voted before that day, either by absentee ballot or at early voting places.",[''],63
6,Publication,Ballot integrity and voting by mail: The oregon experience,"['P Gronke', 'E Director']",2005,… prepared for the National Commission on …,"absentee balloting systems more generally) result in a more accurate count.Despite having  moved to an all by mail voting system  have dogged some absentee ballot systems.In 2004,","['9-EYIFUAAAAJ', '']",13
7,Publication,Georgia: 2020 Election Policies & Practices,"['', 'SR Rates', 'CA Ballots', 'PA Ballots']",2020,HealthyElection …,", and insert the ash drives onto the county’s election management system in the tabulation  center to count the votes. They do the same with the memory cards from the optical scanning","['', '', '', '']",3
8,Publication,How absentee voting works in Minnesota,['R Smith'],2009,NA,"and, if it is necessary, how to change the system will only be effective if they are carefully   of the absentee ballot systems in Minnesota. An accurate understanding of absentee voting",[''],0
9,Publication,Teaching voters new tricks: The effect of partisan absentee vote-by-mail get-out-the-vote efforts,['HJG Hassell'],2017,Research & Politics,"voters using absentee ballot request  absentee vote-by-mail balloting may bank votes for a  campaign before Election Day, the overall effect of partisan campaigns’ use of absentee ballot",['JA-ZKQgAAAAJ'],20
10,Publication,Digital divide or just another absentee ballot? Evaluating internet voting in the 2004 Michigan democratic primary,"['AK Prevost', 'BF Schaffner']",2008,American Politics Research,"first decide to cast an absentee ballot and then decide what ballot to use (Internet or mail).  Our findings show that Internet voting is not more biased than other absentee voting methods,","['', 's13IQeUAAAAJ']",33
