,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,"Arthritis quality indicators for the Veterans Administration: implications for electronic data collection, storage format, quality assessment, and clinical decision …","['CA Williams', 'AD Mosley-Williams']",2007,AMIA Annual …,The Veterans Administration (VA) uses information technology and performance measures  to improve quality and efficiency. The VA stores all patient data electronically. Manual quality,"['', '']",12
1,Publication,"mwfn: A strict, concise and extensible format for electronic wavefunction storage and exchange","['T Lu', 'Q Chen']",2021,NA,"this article we define a new format ""mwfn"" (acronym of ""Multiwfn wavefunction file"") for  electronic wavefunction storage and exchange purposes. This format is strict, concise, extensible,","['', '']",4
2,Publication,Content is king: the electronic format is just a first step in the digital evolution of medical information,['ES Haug'],2022,Scandinavian Journal of Urology,"The introduction of electronic health records (EHR’s)  and the need for electronic storage  seems endless. Digital  the future expansion of data storage. Further, the overwhelming",[''],0
3,Publication,Development of a packaging storage format for electronic comic services with metadata,"['DK Jung', 'HY Kim', 'HK Lee', 'JH Nam']",2008,2008 Digest of …,"-In this paper, The proposed e-comic storage format  on the ISO base media file  format that facilitates interchange,  , most of users consume electronic comics (a comic book)","['', 'qbiBc50AAAAJ', '', '']",3
4,Publication,Metadata for the long term preservation of electronic publications,"['C Lupovici', 'B nationale de France']",2000,Change,"a physical storage format, generally standardised (for instance   for the -).  Device drivers and chips built into the physical storage interface manage this format in","['', '']",74
5,Publication,Create your own electronic portfolio,['HC Barrett'],2000,Learning and leading with technology,format and storage of the presentation portfolio. Choose a  of electronic portfolios is to publish  them in HTML format. With  to publish their portfolios in this format. Students convert word,[''],469
6,Publication,Digital image compression in dermatology: format comparison,"['F Guarneri', 'M Vaccaro', 'C Guarneri']",2008,Telemedicine and e-Health,Digital image compression (reduction of the amount of numeric data needed to represent  a picture) is widely used in electronic storage and transmission devices. Few studies have,"['', 'kUc52HQAAAAJ', 'beJC9gEAAAAJ']",15
7,Publication,An electronic library communications format: a definition and development proposal for MARC III,"['E Brownrigg', 'B Butler']",1990,Library hi tech,"users worldwide to convert printed works to electronic forms or to create original works in  electric format, and thus foment the creation of networked electronic library collections.","['', '']",8
8,Publication,"Transition from physical to virtual visit format for a longitudinal brain aging study, in response to the Covid‐19 pandemic. Operationalizing adaptive methods and …","['CT Udeh‐Momoh', 'CA de Jager‐Loots']",2020,… Research & Clinical …,"and storage of electronic medical records (EMRs) A secure, encrypted, password-protected  folder was set up to enable electronic storage of  Electronic versions of all study record forms","['', '']",10
9,Publication,Literary texts in electronic storage: The editorial potential,['TK Bender'],1976,Computers and the Humanities,"electronic data, a fixed and inflexible format has been imposed on data whose inherent virtue  is flexibility of manipulation. If we consider the electronic  (3), Electronic storage can retain",[''],18
10,Publication,ISRM suggested method for reporting rock laboratory test data in electronic format,"['H Zheng', 'XT Feng', 'Z Chen', 'JA Hudson']",2013,The ISRM Suggested …,A code has been developed to perform the process of the electronic format for storage and  reporting of the testing data and results for the existing ISRM Suggested Methods for rock,"['', '', '', '']",5
11,Publication,An optimal storage format for sparse matrices,"['E Montagne', 'A Ekambaram']",2004,Information Processing Letters,Diagonal Storage format (TJDS) which drew inspiration from the Jagged Diagonal Storage  scheme but requires less storage space than JDS. We propose an alternative storage,"['8LbdvS4AAAAJ', '']",71
12,Publication,Research on Integrated Storage of Electronic Chart Data of shapefile Format,"['HAOYT Wen-jing', 'ZYLI Ning']",NA,NA,,"['', '']",0
13,Publication,Emergency medicine standardized letter of evaluation (SLOE): findings from the new electronic SLOE format,"['JS Jackson', 'M Bond', 'JN Love']",2019,Journal of graduate …,"With the electronic generation of the eSLOE and widespread adoption in the EM residency  application process, the collection of inputted data can be sorted by different variables and","['', 'aFC_wDUAAAAJ', 'TH65efAAAAAJ']",25
14,Publication,Towards a common format for computational material science data,"['LM Ghiringhelli', 'C Carbogno', 'S Levchenko']",2016,arXiv preprint arXiv …,"the inputs and outputs of electronic-structure codes into a common format. More specifically,   for storage and retrieval of the code-independent quantities; ii) the uniform file format as","['vbmI_DIAAAAJ', 'hEeNRvUAAAAJ', '3aa_1GAAAAAJ']",16
15,Publication,Towards European standards on electronic voting,['M Remmert'],2004,"Electronic voting in Europe-Technology, law, politics …","In recognition of this, the evoting Committee is likely to suggest to the Committee of Ministers  to recommend to member states to keep their own position on e-voting under review and",[''],46
16,Publication,Attacks on {RFID}-Based electronic voting systems,"['Y Oren', 'A Wool']",2009,Cryptology ePrint Archive,voting terminal from one voting station and use it to his advantage in another station. The  voting  used by the voting committee. We have not reviewed these security features in any way.,"['_V9NAX8AAAAJ', 'A_nVsdcAAAAJ']",35
