,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Analysis of an electronic voting system,"['T Kohno', 'A Stubblefield', 'AD Rubin']",2004,IEEE Symposium on …,"voting systems, municipalities and states throughout the US are adopting paperless electronic  voting  Our analysis shows that this voting system is far below even the most minimal","['s_YDrrgAAAAJ', '', 'KWez2_sAAAAJ']",785
1,Publication,Secure electronic voting,['DA Gritzalis'],2012,NA,"voting or voting over the Internet (electronic voting). Electronic voting is seen as a means  to make voting  In the beginning, electronic voting was considered as a simple extension of",['5hIalXgAAAAJ'],223
2,Publication,Electronic voting and democracy: a comparative analysis,"['N Kersting', 'H Baldersheim']",2004,NA,"regard to online voting, and what are the arguments for and against? Electronic Voting and   considerations that have driven some countries toward electronic voting faster than others.","['6u7P1wYAAAAJ', '']",146
3,Publication,An electronic voting scheme,['T Okamoto'],1996,Advanced IT Tools,Many electronic secret voting schemes have been proposed in the last ten years. We can  classify these electronic secret voting schemes into three types: one is the multiparty protocols (,['h8i5ZfUAAAAJ'],139
4,Publication,Security considerations for remote electronic voting,['AD Rubin'],2002,Communications of the ACM,"Several efforts at electronic voting in the US have taken place over the past several years,  and trials in Europe are currently taking place. For example, in 2000, the Alaska Republican",['KWez2_sAAAAJ'],217
5,Publication,Analysis of electronic voting system in various countries,"['S Kumar', 'E Walia']",2011,International Journal on Computer Science and …,system whether the user is authentic or not and securing electronic voting machine from   using electronic voting machine. The comparative focus is on the adoption of electronic voting,"['tgD_jnUAAAAJ', '']",84
6,Publication,Electronic voting systems for lectures then and now: A comparison of research and practice,"['V Simpson', 'M Oliver']",2007,Australasian Journal of Educational Technology,"This paper considers the influence of one technology on lecturing: electronic voting  systems (EVS), also known as personal response systems, audience response systems or","['', 'Xg_i_zMAAAAJ']",250
7,Publication,The design of an electronic voting system,"['GO Ofori-Dwumfuo', 'E Paatey']",2011,Research Journal of Information …,The aim of this study is to design an electronic voting  method to be devised is  electronic voting (e-voting). It is meant  voting systems with paperless electronic or online voting,"['', '']",72
8,Publication,Increasing interactivity in lectures using an electronic voting system,"['SW Draper', 'MI Brown']",2004,Journal of computer assisted learning,"In this paper, we give an overview of our experience of introducing an electronic voting  system for use in lectures. Our general hope was that the use of handsets would ‘engage’ the","['', '']",835
9,Publication,Electronic voting system usability issues,"['BB Bederson', 'B Lee', 'RM Sherman']",2003,Proceedings of the …,"electronic voting systems, many of which use a touch screen. These systems offer the promise  of faster and more accurate voting to usability of electronic voting systems and reports on a","['IcW1vJEAAAAJ', 'IozWtK0AAAAJ', '']",167
