,container_type,title,author,pub_year,venue,abstract,author_id,num_citations
0,Publication,Revisiting factors associated with the success of ballot initiatives with a substantial rail transit component.,"['PJ Haas', 'K Estrada']",2011,NA,"Thus, the definition of “multimodal” is a narrow one that essentially considers whether a  bus component is included in the package in addition to the substantial rail component that all","['', '']",9
1,Publication,Factors influencing voting results of local transportation funding initiatives with a substantial rail transit component: Case studies of ballot measures in eleven …,"['R Werbel', 'PJ Haas']",2001,NA,study to obtain data on recent ballot measures in eleven communities from the  ballot  measures had a substantial rail transit component. Four of the communities had two similar ballot,"['', '']",18
2,Publication,Voting outcomes of local tax ballot measures with a substantial rail transit component: Case study of effects of transportation packages,"['RA Werbel', 'PJ Haas']",2002,Transportation research record,Eight of the 17 recent ballot measures examined in this study failed to  ballot measures  with a substantial rail transit component has value to communities that will be proposing ballot,"['', '']",11
3,Publication,The approval ballot as a possible component of electoral reform in New Zealand,['J Nagel'],1987,Political Science,"This paper argues that New Zealanders ought to give more serious consideration to  approval voting, not as an electoral panacea, but rather as just one component of electoral",[''],4
4,Publication,Implementation and evaluation of the EasyVote tallying component and ballot,"['J Budurushi', 'M Volkamer', 'K Renaud']",2014,2014 6th International …,"the human-readable part of the ballot is identical to the machine- We developed an EasyVote  tallying component and  the EasyVote ballot: (1) In contrast to the original EasyVote ballot,","['CrFW5JsAAAAJ', 've0UJIEAAAAJ', 'u6VeU9UAAAAJ']",1
5,Publication,Best linear unbiased estimate using Buys-Ballot procedure when trend-cycle component is linear,"['IS Iwueze', 'EC Nwogu', 'JC Ajaraogu']",2011,CBN Journal of Applied Statistics,The Best linear unbiased estimate (BLUE) of Buys-Ballot estimates when trend-cycle  component is linear are discussed in this paper. The estimates are those proposed by Iwueze and,"['', '', '']",5
6,Publication,A novel ensemble pruning algorithm based on randomized greedy selective strategy and ballot,['Q Dai'],2013,Neurocomputing,"final pruned ensemble is generated by ballot, which are the two major  Ballot stage, all the  votes for each component of the initial ensemble are gathered together. And those component",[''],32
7,Publication,Buys-Ballot estimates when stochastic trend is quadratic,"['IS Iwueza', 'J Ohakwe']",2004,Journal of the Nigerian Association of Mathematical …,The Buys-Ballot estimation procedure developed by [3] for time series decomposition  when trend-cycle component is linear is extended to cases where trend-cycle component is,"['', 'AwJaTE4AAAAJ']",13
8,Publication,Voter satisfaction and electoral systems: Does preferential voting in candidate‐centred systems make a difference?,"['DM Farrell', 'I McAllister']",2006,European Journal of Political …,"The Ballot component is designed to measure the degree of party versus voter control  over the ballot placement of candidates, revealing the extent to which the party leadership (and/or","['7cCz_psAAAAJ', 'NvNmbP4AAAAJ']",211
9,Publication,Is there a secret ballot? Ballot secrecy perceptions and their implications for voting behaviour,"['AS Gerber', 'GA Huber', 'D Doherty']",2013,British Journal of Political …,secrecy is now a common and unquestioned component of virtually all legitimate  secret  ballot as a crucial component of a fair electoral process.In the United States the secret ballot is,"['tLEpp5QAAAAJ', 'FgZGe2gAAAAJ', '-9kW1ioAAAAJ']",136
